sites,latitude,longitude,depth_top_cm,depth_bottom_cm,texture_code,texture_description,horizon_name
NC18_site_1-25702,45.9593,-90.2645,56,86,S,Sand,"Bs2,Bs3"
NC18_site_1-25702,45.9593,-90.2645,86,99,S,Sand,E'
NC18_site_1-25702,45.9593,-90.2645,99,196,S LS,"Sand, loamy sand",E and Bt
NC18_site_1-25702,45.9593,-90.2645,196,203,S,Sand,C
NC19_site_1-25703,45.9364,-90.199700000000007,0,3,LS,Loamy sand,A
NC19_site_1-25703,45.9364,-90.199700000000007,3,18,LS,Loamy sand,E
NC19_site_1-25703,45.9364,-90.199700000000007,18,41,LS,Loamy sand,Bs
NC19_site_1-25703,45.9364,-90.199700000000007,41,99,S,Sand,BC
NC19_site_1-25703,45.9364,-90.199700000000007,99,152,S,Sand,C
NC21_site_1-25704,45.9706,-90.2676,0,5,HPM,Highly decomposed plant material,Oa
NC21_site_1-25704,45.9706,-90.2676,5,13,LS,Loamy sand,E
NC21_site_1-25704,45.9706,-90.2676,13,20,LS,Loamy sand,Bhs
NC21_site_1-25704,45.9706,-90.2676,20,41,LS,Loamy sand,Bs
NC21_site_1-25704,45.9706,-90.2676,41,71,S,Sand,BC
NC21_site_1-25704,45.9706,-90.2676,71,152,S,Sand,C
NC22_site_1-25705,45.8053,-90.0805,0,10,FSL,Fine sandy loam,A
NC22_site_1-25705,45.8053,-90.0805,10,13,FSL,Fine sandy loam,E
NC22_site_1-25705,45.8053,-90.0805,13,33,FSL,Fine sandy loam,Bs
NC22_site_1-25705,45.8053,-90.0805,33,43,GR-SL,Gravelly sandy loam,E'
NC22_site_1-25705,45.8053,-90.0805,43,74,GR-SL,Gravelly sandy loam,E/B
NC22_site_1-25705,45.8053,-90.0805,74,94,GR-SL,Gravelly sandy loam,B/E
NC22_site_1-25705,45.8053,-90.0805,94,117,GR-SL,Gravelly sandy loam,Bt
NC22_site_1-25705,45.8053,-90.0805,117,147,SL,Sandy loam,BCd
NC22_site_1-25705,45.8053,-90.0805,147,152,SL,Sandy loam,Cd
NC23_site_1-25706,45.8027,-90.0797,0,10,FSL,Fine sandy loam,A
NC23_site_1-25706,45.8027,-90.0797,10,13,FSL,Fine sandy loam,E
NC23_site_1-25706,45.8027,-90.0797,13,33,FSL,Fine sandy loam,Bs
NC23_site_1-25706,45.8027,-90.0797,33,43,GR-SL,Gravelly sandy loam,E'
